户号,日期,时间,预测量
A2,2018/8/21,0:00,45399538.65
A2,2018/8/22,0:00,20869541.68
A2,2018/8/23,0:00,59936744.29
A2,2018/8/24,0:00,35449327.01
A2,2018/8/25,0:00,63594362.24
A2,2018/8/26,0:00,60462310.49
A2,2018/8/27,0:00,76652296.74
A2,2018/8/28,0:00,62084211.38
A2,2018/8/29,0:00,55232102.86
A2,2018/8/30,0:00,65405657.3
A2,2018/8/31,0:00,70685935.92
A2,2018/9/1,0:00,9589748.226
A2,2018/9/2,0:00,14941551.89
A2,2018/9/3,0:00,13248660.64
A2,2018/9/4,0:00,11615760.02
A2,2018/9/5,0:00,7569635.21
A2,2018/9/6,0:00,13260069.65
A2,2018/9/7,0:00,11364600.97
A2,2018/9/8,0:00,15858182.21
A2,2018/9/9,0:00,17268653.24
A2,2018/9/10,0:00,24020586.9
A2,2018/9/11,0:00,15599364.93
A2,2018/9/12,0:00,18383538.22
A2,2018/9/13,0:00,21531408.76
A2,2018/9/14,0:00,24156006.16
A2,2018/9/15,0:00,24207452.56
A2,2018/9/16,0:00,23277250.54
A2,2018/9/17,0:00,19307764.64
A2,2018/9/18,0:00,24058864.97
A2,2018/9/19,0:00,23802162.31
A2,2018/9/20,0:00,24161694.69
A2,2018/9/21,0:00,13886853.18
A2,2018/9/22,0:00,6386453.524
A2,2018/9/23,0:00,18337359.7
A2,2018/9/24,0:00,10845278.62
A2,2018/9/25,0:00,19457654.42
A2,2018/9/26,0:00,18494598.22
A2,2018/9/27,0:00,23452264.49
A2,2018/9/28,0:00,18995273.36
A2,2018/9/29,0:00,16899910.45
A2,2018/9/30,0:00,20012296.24
A3,2018/8/1,0:00,897307178.8
A3,2018/8/2,0:00,1416566848
A3,2018/8/3,0:00,1171225902
A3,2018/8/4,0:00,1276453926
A3,2018/8/5,0:00,573146721.7
A3,2018/8/6,0:00,1162847137
A3,2018/8/7,0:00,1088797706
A3,2018/8/8,0:00,1732792443
A3,2018/8/9,0:00,1630032832
A3,2018/8/10,0:00,2312483352
A3,2018/8/11,0:00,1356989551
A3,2018/8/12,0:00,1738568616
A3,2018/8/13,0:00,2031923919
A3,2018/8/14,0:00,2302729552
A3,2018/8/15,0:00,2268194189
A3,2018/8/16,0:00,2111661855
A3,2018/8/17,0:00,2120943078
A3,2018/8/18,0:00,2332293878
A3,2018/8/19,0:00,2264241356
A3,2018/8/20,0:00,2233498639
A3,2018/8/21,0:00,1575721753
A3,2018/8/22,0:00,674823842.9
A3,2018/8/23,0:00,1700688317
A3,2018/8/24,0:00,942002424.6
A3,2018/8/25,0:00,1935587019
A3,2018/8/26,0:00,1662468237
A3,2018/8/27,0:00,2177498821
A3,2018/8/28,0:00,1876514694
A3,2018/8/29,0:00,1720204912
A3,2018/8/30,0:00,1920910459
A3,2018/8/31,0:00,2080896173
A3,2018/9/1,0:00,240775792034.9110000 
A3,2018/9/2,0:00,582389603193.7020000 
A3,2018/9/3,0:00,401398377900.6930000 
A3,2018/9/4,0:00,480711230569.9000000 
A3,2018/9/5,0:00,106406565810.4290000 
A3,2018/9/6,0:00,402321079945.8540000 
A3,2018/9/7,0:00,354244128210.5800000 
A3,2018/9/8,0:00,864938615834.1400000 
A3,2018/9/9,0:00,766658245952.6860000 
A3,2018/9/10,0:00,1521113203069.3000000 
A3,2018/9/11,0:00,535741738297.5370000 
A3,2018/9/12,0:00,870913155217.3300000 
A3,2018/9/13,0:00,1180318409620.6400000 
A3,2018/9/14,0:00,1506991693730.1700000 
A3,2018/9/15,0:00,1462029235453.3500000 
A3,2018/9/16,0:00,1274135668071.4300000 
A3,2018/9/17,0:00,1285718864593.2300000 
A3,2018/9/18,0:00,1546095739987.2400000 
A3,2018/9/19,0:00,1456627135513.4800000 
A3,2018/9/20,0:00,1418919053906.1200000 
A3,2018/9/21,0:00,718781115451.3710000 
A3,2018/9/22,0:00,141218064653.5820000 
A3,2018/9/23,0:00,836178622326.6920000 
A3,2018/9/24,0:00,265632384559.0650000 
A3,2018/9/25,0:00,1073892143530.1400000 
A3,2018/9/26,0:00,806670997779.8490000 
A3,2018/9/27,0:00,1345328399316.9100000 
A3,2018/9/28,0:00,1009652022793.1400000 
A3,2018/9/29,0:00,852731309026.8200000 
A3,2018/9/30,0:00,1060186091400.0900000 
A4,2018/8/1,0:00,27001679.15
A4,2018/8/2,0:00,34138549.37
A4,2018/8/3,0:00,33983465.58
A4,2018/8/4,0:00,38986460.97
A4,2018/8/5,0:00,18867956.6
A4,2018/8/6,0:00,34716345.87
A4,2018/8/7,0:00,4308931.572
A4,2018/8/8,0:00,48748511.36
A4,2018/8/9,0:00,49573596.87
A4,2018/8/10,0:00,69735717.5
A4,2018/8/11,0:00,40507190.32
A4,2018/8/12,0:00,50839732.24
A4,2018/8/13,0:00,53980477.16
A4,2018/8/14,0:00,68127195.8
A4,2018/8/15,0:00,67473467.31
A4,2018/8/16,0:00,11687547.49
A4,2018/8/17,0:00,23632073
A4,2018/8/18,0:00,67221131.77
A4,2018/8/19,0:00,67035799.8
A4,2018/8/20,0:00,65837538.45
A4,2018/8/21,0:00,45360154.6
A4,2018/8/22,0:00,22434469.16
A4,2018/8/23,0:00,49765903.75
A4,2018/8/24,0:00,31269625.09
A4,2018/8/25,0:00,58773943.48
A4,2018/8/26,0:00,50385376.74
A4,2018/8/27,0:00,65572645.43
A4,2018/8/28,0:00,53250496.69
A4,2018/8/29,0:00,50412516.02
A4,2018/8/30,0:00,57579071.88
A4,2018/8/31,0:00,59468217.57
A4,2018/9/1,0:00,3717473.802
A4,2018/9/2,0:00,4701827.242
A4,2018/9/3,0:00,4680551.887
A4,2018/9/4,0:00,5369943.821
A4,2018/9/5,0:00,2595266.929
A4,2018/9/6,0:00,4781663.801
A4,2018/9/7,0:00,588563.112
A4,2018/9/8,0:00,6716477.483
A4,2018/9/9,0:00,6830371.907
A4,2018/9/10,0:00,9610287.533
A4,2018/9/11,0:00,5580032.424
A4,2018/9/12,0:00,7004761.627
A4,2018/9/13,0:00,7437721.374
A4,2018/9/14,0:00,9388279.636
A4,2018/9/15,0:00,9298045.239
A4,2018/9/16,0:00,1610180.154
A4,2018/9/17,0:00,3257014.069
A4,2018/9/18,0:00,9263375.414
A4,2018/9/19,0:00,9237856.033
A4,2018/9/20,0:00,9072643.814
A4,2018/9/21,0:00,6249178.607
A4,2018/9/22,0:00,3087920.212
A4,2018/9/23,0:00,6856447.768
A4,2018/9/24,0:00,4306278.057
A4,2018/9/25,0:00,8098705.523
A4,2018/9/26,0:00,6942065.846
A4,2018/9/27,0:00,9036133.072
A4,2018/9/28,0:00,7337221.461
A4,2018/9/29,0:00,6945724.647
A4,2018/9/30,0:00,7933792.094
A5,2018/8/1,0:00,46291214.76
A5,2018/8/2,0:00,107799422.8
A5,2018/8/3,0:00,86180538.08
A5,2018/8/4,0:00,83784552.76
A5,2018/8/5,0:00,53447550.5
A5,2018/8/6,0:00,98062583.52
A5,2018/8/7,0:00,90687554.22
A5,2018/8/8,0:00,136990309.7
A5,2018/8/9,0:00,113893558.3
A5,2018/8/10,0:00,167502328.5
A5,2018/8/11,0:00,86891403.18
A5,2018/8/12,0:00,133618902.3
A5,2018/8/13,0:00,136407382.6
A5,2018/8/14,0:00,167138122.7
A5,2018/8/15,0:00,168691829.3
A5,2018/8/16,0:00,165228708.6
A5,2018/8/17,0:00,132728717.2
A5,2018/8/18,0:00,168890013.6
A5,2018/8/19,0:00,165643717
A5,2018/8/20,0:00,149147131.5
A5,2018/8/21,0:00,108147589.6
A5,2018/8/22,0:00,88574806.9
A5,2018/8/23,0:00,124675972.8
A5,2018/8/24,0:00,90673503.53
A5,2018/8/25,0:00,146589772.6
A5,2018/8/26,0:00,110281780
A5,2018/8/27,0:00,156474791.1
A5,2018/8/28,0:00,142411095.1
A5,2018/8/29,0:00,148029769.9
A5,2018/8/30,0:00,140702393.7
A5,2018/8/31,0:00,153315289.9
A5,2018/9/1,0:00,8315762.178
A5,2018/9/2,0:00,19365208.67
A5,2018/9/3,0:00,15481539.07
A5,2018/9/4,0:00,15051089.78
A5,2018/9/5,0:00,9601344.352
A5,2018/9/6,0:00,17616076.73
A5,2018/9/7,0:00,16291191.72
A5,2018/9/8,0:00,24609087.56
A5,2018/9/9,0:00,20459927.17
A5,2018/9/10,0:00,30090253.62
A5,2018/9/11,0:00,15609158.06
A5,2018/9/12,0:00,24003352.96
A5,2018/9/13,0:00,24504315.32
A5,2018/9/14,0:00,30024783.23
A5,2018/9/15,0:00,30303909.89
A5,2018/9/16,0:00,29681751.97
A5,2018/9/17,0:00,23843388.03
A5,2018/9/18,0:00,30339418.11
A5,2018/9/19,0:00,29756235.18
A5,2018/9/20,0:00,26792808.14
A5,2018/9/21,0:00,19427629.66
A5,2018/9/22,0:00,15911557.01
A5,2018/9/23,0:00,22396833.74
A5,2018/9/24,0:00,16288573.84
A5,2018/9/25,0:00,26333443.07
A5,2018/9/26,0:00,19811090.7
A5,2018/9/27,0:00,28109321.23
A5,2018/9/28,0:00,25582818.42
A5,2018/9/29,0:00,26592069.03
A5,2018/9/30,0:00,25275822.83
