户号,日期,时间,预测值
A2,2018/8/27,0:00:00,10521.28599
A2,2018/8/28,0:00:00,10529.69838
A2,2018/8/29,0:00:00,10538.10734
A2,2018/8/30,0:00:00,10546.51552
A2,2018/8/31,0:00:00,10554.92546
A2,2018/9/1,0:00:00,10563.33919
A2,2018/9/2,0:00:00,10571.75822
A2,2018/9/3,0:00:00,10580.18429
A2,2018/9/4,0:00:00,10588.61906
A2,2018/9/5,0:00:00,10597.06402
A2,2018/9/6,0:00:00,10605.52001
A2,2018/9/7,0:00:00,10613.98827
A2,2018/9/8,0:00:00,10622.46926
A2,2018/9/9,0:00:00,10630.9637
A2,2018/9/10,0:00:00,10639.47193
A2,2018/9/11,0:00:00,10647.99485
A2,2018/9/12,0:00:00,10656.53291
A2,2018/9/13,0:00:00,10665.08633
A2,2018/9/14,0:00:00,10673.65538
A2,2018/9/15,0:00:00,10682.24012
A2,2018/9/16,0:00:00,10690.84094
A2,2018/9/17,0:00:00,10699.4581
A2,2018/9/18,0:00:00,10708.09144
A2,2018/9/19,0:00:00,10716.74118
A2,2018/9/20,0:00:00,10725.40721
A2,2018/9/21,0:00:00,10734.09008
A2,2018/9/22,0:00:00,10742.79042
A2,2018/9/23,0:00:00,10751.50754
A2,2018/9/24,0:00:00,10760.24188
A2,2018/9/25,0:00:00,10768.99288
A2,2018/9/26,0:00:00,10777.76045
A2,2018/9/27,0:00:00,10786.54417
A2,2018/9/28,0:00:00,10795.34405
A2,2018/9/29,0:00:00,10804.16017
A2,2018/9/30,0:00:00,10812.99208
A3,2018/8/1,0:00:00,1685.607595
A3,2018/8/2,0:00:00,1688.761512
A3,2018/8/3,0:00:00,1692.019528
A3,2018/8/4,0:00:00,1695.171813
A3,2018/8/5,0:00:00,1698.331698
A3,2018/8/6,0:00:00,1701.547931
A3,2018/8/7,0:00:00,1704.739302
A3,2018/8/8,0:00:00,1707.765538
A3,2018/8/9,0:00:00,1710.744105
A3,2018/8/10,0:00:00,1713.644524
A3,2018/8/11,0:00:00,1716.479652
A3,2018/8/12,0:00:00,1719.240275
A3,2018/8/13,0:00:00,1721.909688
A3,2018/8/14,0:00:00,1724.486215
A3,2018/8/15,0:00:00,1726.990784
A3,2018/8/16,0:00:00,1729.423268
A3,2018/8/17,0:00:00,1731.788832
A3,2018/8/18,0:00:00,1734.090461
A3,2018/8/19,0:00:00,1736.332569
A3,2018/8/20,0:00:00,1738.522023
A3,2018/8/21,0:00:00,1740.665961
A3,2018/8/22,0:00:00,1742.768579
A3,2018/8/23,0:00:00,1744.834472
A3,2018/8/24,0:00:00,1746.867792
A3,2018/8/25,0:00:00,1748.87265
A3,2018/8/26,0:00:00,1750.852884
A3,2018/8/27,0:00:00,1752.811802
A3,2018/8/28,0:00:00,1754.752087
A3,2018/8/29,0:00:00,1756.676211
A3,2018/8/30,0:00:00,1758.586394
A3,2018/8/31,0:00:00,1760.484583
A3,2018/9/1,0:00:00,1762.372482
A3,2018/9/2,0:00:00,1764.251523
A3,2018/9/3,0:00:00,1766.122934
A3,2018/9/4,0:00:00,1767.987818
A3,2018/9/5,0:00:00,1769.847107
A3,2018/9/6,0:00:00,1771.701605
A3,2018/9/7,0:00:00,1773.55202
A3,2018/9/8,0:00:00,1775.398912
A3,2018/9/9,0:00:00,1777.242808
A3,2018/9/10,0:00:00,1779.084141
A3,2018/9/11,0:00:00,1780.923276
A3,2018/9/12,0:00:00,1782.760556
A3,2018/9/13,0:00:00,1784.596227
A3,2018/9/14,0:00:00,1786.430534
A3,2018/9/15,0:00:00,1788.263671
A3,2018/9/16,0:00:00,1790.095833
A3,2018/9/17,0:00:00,1791.92713
A3,2018/9/18,0:00:00,1793.757712
A3,2018/9/19,0:00:00,1795.587668
A3,2018/9/20,0:00:00,1797.417102
A3,2018/9/21,0:00:00,1799.246089
A3,2018/9/22,0:00:00,1801.074689
A3,2018/9/23,0:00:00,1802.902954
A3,2018/9/24,0:00:00,1804.730951
A3,2018/9/25,0:00:00,1806.558701
A3,2018/9/26,0:00:00,1808.386251
A3,2018/9/27,0:00:00,1810.213629
A3,2018/9/28,0:00:00,1812.040866
A3,2018/9/29,0:00:00,1813.867968
A3,2018/9/30,0:00:00,1815.694959
A4,2018/8/1,0:00:00,6867.387408
A4,2018/8/2,0:00:00,6876.475548
A4,2018/8/3,0:00:00,6885.316149
A4,2018/8/4,0:00:00,6893.986356
A4,2018/8/5,0:00:00,6902.53251
A4,2018/8/6,0:00:00,6910.982597
A4,2018/8/7,0:00:00,6919.356539
A4,2018/8/8,0:00:00,6927.667031
A4,2018/8/9,0:00:00,6935.922226
A4,2018/8/10,0:00:00,6944.128217
A4,2018/8/11,0:00:00,6952.289876
A4,2018/8/12,0:00:00,6960.412942
A4,2018/8/13,0:00:00,6968.499798
A4,2018/8/14,0:00:00,6976.553067
A4,2018/8/15,0:00:00,6984.575297
A4,2018/8/16,0:00:00,6992.567962
A4,2018/8/17,0:00:00,7000.532763
A4,2018/8/18,0:00:00,7008.47095
A4,2018/8/19,0:00:00,7016.384029
A4,2018/8/20,0:00:00,7024.272133
A4,2018/8/21,0:00:00,7032.134518
A4,2018/8/22,0:00:00,7039.97467
A4,2018/8/23,0:00:00,7047.790787
A4,2018/8/24,0:00:00,7055.583867
A4,2018/8/25,0:00:00,7063.355414
A4,2018/8/26,0:00:00,7071.107486
A4,2018/8/27,0:00:00,7078.840678
A4,2018/8/28,0:00:00,7086.555392
A4,2018/8/29,0:00:00,7094.250512
A4,2018/8/30,0:00:00,7101.926498
A4,2018/8/31,0:00:00,7109.583291
A4,2018/9/1,0:00:00,7117.221116
A4,2018/9/2,0:00:00,7124.840686
A4,2018/9/3,0:00:00,7132.442077
A4,2018/9/4,0:00:00,7140.025676
A4,2018/9/5,0:00:00,7147.590351
A4,2018/9/6,0:00:00,7155.137174
A4,2018/9/7,0:00:00,7162.664208
A4,2018/9/8,0:00:00,7170.174389
A4,2018/9/9,0:00:00,7177.667568
A4,2018/9/10,0:00:00,7185.145041
A4,2018/9/11,0:00:00,7192.604812
A4,2018/9/12,0:00:00,7200.047565
A4,2018/9/13,0:00:00,7207.473778
A4,2018/9/14,0:00:00,7214.884196
A4,2018/9/15,0:00:00,7222.27864
A4,2018/9/16,0:00:00,7229.65255
A4,2018/9/17,0:00:00,7237.010709
A4,2018/9/18,0:00:00,7244.353148
A4,2018/9/19,0:00:00,7251.679717
A4,2018/9/20,0:00:00,7258.990371
A4,2018/9/21,0:00:00,7266.283606
A4,2018/9/22,0:00:00,7273.557634
A4,2018/9/23,0:00:00,7280.814823
A4,2018/9/24,0:00:00,7288.053654
A4,2018/9/25,0:00:00,7295.276213
A4,2018/9/26,0:00:00,7302.481829
A4,2018/9/27,0:00:00,7309.67162
A4,2018/9/28,0:00:00,7316.844677
A4,2018/9/29,0:00:00,7324.000673
A4,2018/9/30,0:00:00,7331.140277
A5,2018/8/1,0:00:00,9089.525836
A5,2018/8/2,0:00:00,9101.241956
A5,2018/8/3,0:00:00,9112.210455
A5,2018/8/4,0:00:00,9122.70015
A5,2018/8/5,0:00:00,9132.808107
A5,2018/8/6,0:00:00,9142.600905
A5,2018/8/7,0:00:00,9152.123455
A5,2018/8/8,0:00:00,9161.411967
A5,2018/8/9,0:00:00,9170.496006
A5,2018/8/10,0:00:00,9179.400039
A5,2018/8/11,0:00:00,9188.145404
A5,2018/8/12,0:00:00,9196.748284
A5,2018/8/13,0:00:00,9205.226203
A5,2018/8/14,0:00:00,9213.593764
A5,2018/8/15,0:00:00,9221.863991
A5,2018/8/16,0:00:00,9230.049341
A5,2018/8/17,0:00:00,9238.160572
A5,2018/8/18,0:00:00,9246.207907
A5,2018/8/19,0:00:00,9254.19984
A5,2018/8/20,0:00:00,9262.145668
A5,2018/8/21,0:00:00,9270.054035
A5,2018/8/22,0:00:00,9277.929411
A5,2018/8/23,0:00:00,9285.779365
A5,2018/8/24,0:00:00,9293.608875
A5,2018/8/25,0:00:00,9301.420891
A5,2018/8/26,0:00:00,9309.2189
A5,2018/8/27,0:00:00,9317.006031
A5,2018/8/28,0:00:00,9324.785146
A5,2018/8/29,0:00:00,9332.560028
A5,2018/8/30,0:00:00,9340.33342
A5,2018/8/31,0:00:00,9348.107677
A5,2018/9/1,0:00:00,9355.885271
A5,2018/9/2,0:00:00,9363.66671
A5,2018/9/3,0:00:00,9371.453841
A5,2018/9/4,0:00:00,9379.247797
A5,2018/9/5,0:00:00,9387.050157
A5,2018/9/6,0:00:00,9394.86101
A5,2018/9/7,0:00:00,9402.681133
A5,2018/9/8,0:00:00,9410.510374
A5,2018/9/9,0:00:00,9418.34954
A5,2018/9/10,0:00:00,9426.198064
A5,2018/9/11,0:00:00,9434.057645
A5,2018/9/12,0:00:00,9441.927596
A5,2018/9/13,0:00:00,9449.807979
A5,2018/9/14,0:00:00,9457.698375
A5,2018/9/15,0:00:00,9465.598785
A5,2018/9/16,0:00:00,9473.509148
A5,2018/9/17,0:00:00,9481.429734
A5,2018/9/18,0:00:00,9489.360065
A5,2018/9/19,0:00:00,9497.300023
A5,2018/9/20,0:00:00,9505.249755
A5,2018/9/21,0:00:00,9513.209651
A5,2018/9/22,0:00:00,9521.180215
A5,2018/9/23,0:00:00,9529.160435
A5,2018/9/24,0:00:00,9537.150729
A5,2018/9/25,0:00:00,9545.150201
A5,2018/9/26,0:00:00,9553.159091
A5,2018/9/27,0:00:00,9561.176595
A5,2018/9/28,0:00:00,9569.20274
A5,2018/9/29,0:00:00,9577.237111
A5,2018/9/30,0:00:00,9585.279589
