户号,日期,时间,预测量,,
A4,2018/9/18,0:00,7114.044757,,
A4,2018/9/19,0:00,7119.158767,,
A4,2018/9/20,0:00,7124.2725,,
A4,2018/9/21,0:00,7129.387277,,
A4,2018/9/22,0:00,7134.50243,,
A4,2018/9/23,0:00,7139.617361,,
A4,2018/9/24,0:00,7144.732068,,
A4,2018/9/25,0:00,7149.845568,,
A4,2018/9/26,0:00,7154.959208,,
A4,2018/9/27,0:00,7160.073387,,
A4,2018/9/28,0:00,7165.188549,,
A4,2018/9/29,0:00,7170.302539,,
A4,2018/9/30,0:00,7175.416205,,
A5,2018/8/1,0:00,9093.387406,,
A5,2018/8/2,0:00,9098.184812,,
A5,2018/8/3,0:00,9102.998775,,
A5,2018/8/4,0:00,9107.834903,,
A5,2018/8/5,0:00,9112.665023,,
A5,2018/8/6,0:00,9117.483585,,
A5,2018/8/7,0:00,9122.30415,,
A5,2018/8/8,0:00,9127.143421,,
A5,2018/8/9,0:00,9131.953405,,
A5,2018/8/10,0:00,9136.753395,,
A5,2018/8/11,0:00,9141.584577,,
A5,2018/8/12,0:00,9146.422672,,
A5,2018/8/13,0:00,9151.22293,,
A5,2018/8/14,0:00,9156.04045,,
A5,2018/8/15,0:00,9160.857226,,
A5,2018/8/16,0:00,9165.667637,,
A5,2018/8/17,0:00,9170.488464,,
A5,2018/8/18,0:00,9175.298512,,
A5,2018/8/19,0:00,9180.127923,,
A5,2018/8/20,0:00,9184.974332,,
A5,2018/8/21,0:00,9189.776161,,
A5,2018/8/22,0:00,9194.59325,,
A5,2018/8/23,0:00,9199.408827,,
A5,2018/8/24,0:00,9204.249979,,
A5,2018/8/25,0:00,9209.092284,,
A5,2018/8/26,0:00,9213.908781,,
A5,2018/8/27,0:00,9218.700566,,
A5,2018/8/28,0:00,9223.523948,,
A5,2018/8/29,0:00,9228.36756,,
A5,2018/8/30,0:00,9233.172694,,
A5,2018/8/31,0:00,9237.97152,,
A5,2018/9/1,0:00,9242.765492,,
A5,2018/9/2,0:00,9247.576847,,
A5,2018/9/3,0:00,9252.394389,,
A5,2018/9/4,0:00,9257.202141,,
A5,2018/9/5,0:00,9262.046263,,
A5,2018/9/6,0:00,9266.894769,,
A5,2018/9/7,0:00,9271.720601,,
A5,2018/9/8,0:00,9276.51602,,
A5,2018/9/9,0:00,9281.297359,,
A5,2018/9/10,0:00,9286.113883,,
A5,2018/9/11,0:00,9290.917872,,
A5,2018/9/12,0:00,9295.710565,,
A5,2018/9/13,0:00,9300.502024,,
A5,2018/9/14,0:00,9305.299807,,
A5,2018/9/15,0:00,9310.109964,,
A5,2018/9/16,0:00,9314.918065,,
A5,2018/9/17,0:00,9319.721792,,
A5,2018/9/18,0:00,9324.507555,,
A5,2018/9/19,0:00,9329.318665,,
A5,2018/9/20,0:00,9334.13475,,
A5,2018/9/21,0:00,9338.936975,,
A5,2018/9/22,0:00,9343.724994,,
A5,2018/9/23,0:00,9348.520038,,
A5,2018/9/24,0:00,9353.318761,,
A5,2018/9/25,0:00,9358.149208,,
A5,2018/9/26,0:00,9362.977503,,
A5,2018/9/27,0:00,9367.778761,,
A5,2018/9/28,0:00,9372.572281,,
A5,2018/9/29,0:00,9377.390017,,
A5,2018/9/30,0:00,9382.221847,,
